County-Level Results For 1820

county,state,population
Harlan,Kentucky,1961
Harrison,Kentucky,12278
Harrison,Virginia,10932
Harrison,Indiana,7875
Harrison,Ohio,14345
Hart,Kentucky,4184
Hartford,Connecticut,47264
Hawkins,Tennessee,10949
Haywood,North Carolina,4073
Henderson,Kentucky,5714
Henrico,Virginia,11600
Henry,Kentucky,10816
Henry,Virginia,5624
Henry,Alabama,2638
Herkimer,New York,31017
Hertford,North Carolina,7712
Hickman,Tennessee,6080
Highland,Ohio,12308
Hillsborough,New Hampshire,53884
Hocking,Ohio,2130
Hopkins,Kentucky,5322
Horry,South Carolina,5025
Howard,Missouri,13426
Humphreys,Tennessee,4067
Hunterdon,New Jersey,28604
Huntingdon,Pennsylvania,20142
Huron,Ohio,6675
Hyde,North Carolina,4967
Iberville,Louisiana,4414
Indiana,Pennsylvania,8882
Iredell,North Carolina,13071
Irwin,Georgia,411
Isle Of Wight,Virginia,10139
Jackson,Alabama,8751
Jackson,Tennessee,7593
Jackson,Georgia,8355
Jackson,Ohio,3746
Jackson,Indiana,4010
Jackson,Mississippi,1682
Jackson,Illinois,1542
James City,Virginia,3161
Jasper,Georgia,14614
Jefferson,Ohio,18531
Jefferson,Indiana,8038
Jefferson,Georgia,7056
Jefferson,Kentucky,20768
Jefferson,Mississippi,6822
Jefferson,Pennsylvania,561
Jefferson,Tennessee,8953
Jefferson,Illinois,691
Jefferson,Missouri,1835
Jefferson,Virginia,13087
Jefferson,New York,32952
Jennings,Indiana,2000
Jessamine,Kentucky,9297
Johnson,Illinois,843
Johnston,North Carolina,9607
Jones,North Carolina,5216
Jones,Georgia,16570
Kanawha,Virginia,6399
Kennebec,Maine,42623
Kent,Delaware,20793
Kent,Maryland,11453
Kent,Rhode Island,10228
King And Queen,Virginia,11798
King George,Virginia,6116
King William,Virginia,9697
Kings,New York,11187
Knox,Ohio,8326
Knox,Tennessee,13034
Knox,Indiana,5437
Knox,Kentucky,3661
Lafourche,Louisiana,3755
Lancaster,Virginia,5517
Lancaster,South Carolina,8716
Lancaster,Pennsylvania,68336
Lauderdale,Alabama,4963
Laurens,Georgia,5436
Laurens,South Carolina,17682
Lawrence,Alabama,8652
Lawrence,Indiana,4116
Lawrence,Mississippi,4916
Lawrence,Ohio,3499
Lawrence,Tennessee,3271
Lebanon,Pennsylvania,16988
Lee,Virginia,4256
Lehigh,Pennsylvania,18895
Lenoir,North Carolina,6799
Lewis,Virginia,4247
Lewis,Kentucky,3973
Lewis,New York,9227
Lexington,South Carolina,8083
Liberty,Georgia,6695
Licking,Ohio,11861
Limestone,Alabama,9871
Lincoln,Missouri,1662
Lincoln,North Carolina,18147
Lincoln,Georgia,6458
Lincoln,Kentucky,9979
Lincoln,Maine,53189
Lincoln,Tennessee,14761
Litchfield,Connecticut,41267
Livingston,Kentucky,5824
Logan,Ohio,3181
Logan,Kentucky,14423
Loudoun,Virginia,22702
Louisa,Virginia,13746
Lunenburg,Virginia,10662
Luzerne,Pennsylvania,20027
Lycoming,Pennsylvania,13517
Madison,Kentucky,15954
Madison,Alabama,17481
Madison,Illinois,13550
Madison,New York,32208
Madison,Missouri,2047
Madison,Georgia,3735
Madison,Ohio,4799
Madison,Virginia,8490
Marengo,Alabama,2933
Marion,South Carolina,10201
Marion,Mississippi,3116
Marion,Tennessee,3888
Marlboro,South Carolina,6425
Martin,Indiana,1032
Martin,North Carolina,6320
Mason,Kentucky,13588
Mason,Virginia,4868
Mathews,Virginia,6920
Maury,Tennessee,22141
Mcintosh,Georgia,5129
Mckean,Pennsylvania,728
Mcminn,Tennessee,1623
Mecklenburg,North Carolina,16895
Mecklenburg,Virginia,19786
Medina,Ohio,3082
Meigs,Ohio,4480
Mercer,Pennsylvania,11681
Mercer,Kentucky,15587
Miami,Ohio,8851
Middlesex,Connecticut,22405
Middlesex,Virginia,4057
Middlesex,Massachusetts,61472
Middlesex,New Jersey,21470
Mifflin,Pennsylvania,16618
Mobile,Alabama,2672
Monmouth,New Jersey,25038
Monongalia,Virginia,11060
Monroe,Illinois,1537
Monroe,Ohio,4645
Monroe,Kentucky,4956
Monroe,Indiana,2679
Monroe,Tennessee,2529
Monroe,Alabama,8838
Monroe,Virginia,6620
Monroe,Mississippi,2721
Montgomery,Kentucky,9587
Montgomery,Maryland,16400
Montgomery,Georgia,1869
Montgomery,Tennessee,12219
Montgomery,New York,37569
Montgomery,Ohio,15999
Montgomery,North Carolina,8693
Montgomery,Virginia,8733
Montgomery,Missouri,3074
Montgomery,Alabama,6604
Montgomery,Pennsylvania,35793
Moore,North Carolina,7128
Morgan,Tennessee,1676
Morgan,Ohio,5297
Morgan,Georgia,13520
Morgan,Virginia,2500
Morgan/cotaco,Alabama,5263
Morris,New Jersey,21368
Muhlenberg,Kentucky,4979
Muskingum,Ohio,17824
Nansemond,Virginia,10494
Nantucket,Massachusetts,7266
Nash,North Carolina,8185
Natchitoches,Louisiana,7486
Nelson,Kentucky,16273
Nelson,Virginia,10137
New Castle,Delaware,27899
New Hanover,North Carolina,10866
New Haven,Connecticut,39616
New Kent,Virginia,6630
New London,Connecticut,35943
New Madrid,Missouri,2296
New York,New York,123706
Newberry,South Carolina,16104
Newport,Rhode Island,15771
Niagara,New York,22990
Nicholas,Virginia,1853
Nicholas,Kentucky,7973
Norfolk,Virginia,15478
Norfolk,Massachusetts,36471
Norfolk City,Virginia,8478
Northampton,Virginia,7705
Northampton,Pennsylvania,31765
Northampton,North Carolina,13242
Northumberland,Virginia,8016
Northumberland,Pennsylvania,15424
Nottoway,Virginia,9658
Oglethorpe,Georgia,14046
Ohio,Virginia,9182
Ohio,Kentucky,3879
Oneida,New York,50997
Onondaga,New York,41467
Onslow,North Carolina,7016
Ontario,New York,88267
Opelousas,Louisiana,10085
Orange,North Carolina,23492
Orange,New York,41213
Orange,Virginia,12913
Orange,Indiana,5368
Orange,Vermont,24681
Orangeburg,South Carolina,15653
Orleans,Louisiana,41351
Orleans,Vermont,6976
Oswego,New York,12374
Otsego,New York,44856
Ouachita,Louisiana,2896
Overton,Tennessee,7128
Owen,Indiana,838
Owen,Kentucky,2031
Oxford,Maine,27104
Pasquotank,North Carolina,8008
Patrick,Virginia,5089
Pendleton,Virginia,4846
Pendleton,South Carolina,27022
Pendleton,Kentucky,3086
Penobscot,Maine,13870
Perquimans,North Carolina,6857
Perry,Mississippi,2037
Perry,Alabama,3646
Perry,Tennessee,2384
Perry,Pennsylvania,11342
Perry,Ohio,8429
Perry,Indiana,2330
Person,North Carolina,9029
Petersburg,Virginia,6690
Philadelphia,Pennsylvania,137097
Pickaway,Ohio,13149
Pike,Pennsylvania,2894
Pike,Indiana,1472
Pike,Mississippi,4438
Pike,Ohio,4253
Pike,Missouri,3747
Pitt,North Carolina,10001
Pittsylvania,Virginia,21323
Plaquemines,Louisiana,2354
Plymouth,Massachusetts,38136
Pointe Coupee,Louisiana,4912
Pope,Illinois,2610
Portage,Ohio,10095
Posey,Indiana,4061
Potter,Pennsylvania,186
Powhatan,Virginia,8292
Preble,Ohio,10237
Preston,Virginia,3422
Prince Edward,Virginia,12577
Prince George,Virginia,8030
Prince Georges,Maryland,20216
Prince William,Virginia,9419
Princess Anne,Virginia,8768
Providence,Rhode Island,35736
Pulaski,Georgia,5283
Pulaski,Kentucky,7597
Putnam,New York,11268
Putnam,Georgia,15475
Queen Annes,Maryland,14952
Queens,New York,21519
Rabun,Georgia,524
Randolph,North Carolina,11331
Randolph,Indiana,1808
Randolph,Virginia,3357
Randolph,Illinois,3492
Rapides,Louisiana,6065
Rensselaer,New York,40153
Rhea,Tennessee,4215
Richland,Ohio,9169
Richland,South Carolina,12321
Richmond,Georgia,8608
Richmond,North Carolina,7537
Richmond,New York,6135
Richmond,Virginia,5706
Richmond City,Virginia,12067
Ripley,Indiana,1822
Roane,Tennessee,7895
Robertson,Tennessee,9938
Robeson,North Carolina,8204
Rockbridge,Virginia,11945
Rockcastle,Kentucky,2249
Rockingham,Virginia,14784
Rockingham,New Hampshire,55246
Rockingham,North Carolina,11474
Rockland,New York,8837
Ross,Ohio,20619
Rowan,North Carolina,26009
Russell,Virginia,5536
Rutherford,North Carolina,15351
Rutherford,Tennessee,19552
Rutland,Vermont,29983
Salem,New Jersey,14022
Sampson,North Carolina,8908
Sandusky,Ohio,852
Saratoga,New York,36052
Schenectady,New York,13081
Schoharie,New York,23154
Schuylkill,Pennsylvania,11339
Scioto,Ohio,5750
Scott,Indiana,2334
Scott,Virginia,4263
Scott,Kentucky,14219
Screven,Georgia,3941
Seneca,New York,23619
Sevier,Tennessee,4772
Shelby,Tennessee,354
Shelby,Ohio,2106
Shelby,Alabama,2416
Shelby,Kentucky,21047
Shenandoah,Virginia,18926
Simpson,Kentucky,4852
Smith,Tennessee,17580
Somerset,Maryland,19579
Somerset,Pennsylvania,13974
Somerset,Maine,21787
Somerset,New Jersey,16506
Southampton,Virginia,14170
Spartanburg,South Carolina,16989
Spencer,Indiana,1882
Spotsylvania,Virginia,14254
St Bernard,Louisiana,2635
St Charles,Louisiana,3862
St Charles,Missouri,3970
St Clair,Alabama,4166
St Clair,Illinois,5253
St Helena,Louisiana,3026
St James,Louisiana,5660
St John The Bapti,Louisiana,3854
St Lawrence,New York,16037
St Louis,Missouri,10049
St Marys,Maryland,12974
St Tammany,Louisiana,1723
Stafford,Virginia,9517
Stark,Ohio,12406
